,Name,Lat,Lon,Pop
0,ANG MO KIO,1.3700803,103.8495228,85630.0
1,BEDOK,1.3239765,103.930216,151220.0
2,BISHAN,1.3509859,103.84825507492937,46440.0
3,BUKIT BATOK,1.3490572,103.7495906,95070.0
4,BUKIT MERAH,1.2837356,103.8200999,79770.0
5,BUKIT PANJANG,1.3779175,103.7630947,79350.0
6,BUKIT TIMAH,1.3546901,103.7763724,42220.0
7,CHANGI,1.3539247,103.9746973,980.0
8,CHOA CHU KANG,1.3853167,103.744325,115530.0
9,CLEMENTI,1.3151003,103.7652311,50530.0
10,DOWNTOWN CORE,1.2862423,103.8537756,2680.0
11,GEYLANG,1.3181862,103.8870563,61000.0
12,HOUGANG,1.3708011,103.89254433997465,128460.0
13,JURONG EAST,1.333108,103.7422939,41780.0
14,JURONG WEST,1.3434392,103.7058663,151360.0
15,KALLANG,1.310759,103.866262,54870.0
16,MANDAI,1.4235346,103.8033499,1240.0
17,MARINE PARADE,1.3026889,103.9073952,24570.0
18,MUSEUM,1.2956562,103.8467218,370.0
19,NEWTON,1.31318325,103.83804024301281,5060.0
20,NOVENA,1.3205257000000001,103.84388133927948,28070.0
21,ORCHARD,1.30312075,103.8313759279562,410.0
22,OUTRAM,1.2816642,103.840653,8800.0
23,PASIR RIS,1.3730307,103.949255,88640.0
24,PUNGGOL,1.4051559,103.90236801879885,110450.0
25,QUEENSTOWN,1.2946226,103.8060366,52900.0
26,RIVER VALLEY,1.2976832,103.834188,6790.0
27,ROCHOR,1.3039183,103.85278854599449,7230.0
28,SELETAR,1.4098488,103.8773789,160.0
29,SEMBAWANG,1.4490928,103.8200555,65710.0
30,SENGKANG,1.3919236499999998,103.89549093760694,149080.0
31,SERANGOON,1.3497610500000001,103.87368414801405,64290.0
32,SINGAPORE RIVER,1.28917835,103.84515431766008,2240.0
33,SOUTHERN ISLANDS,1.2276088,103.8436701,1340.0
34,SUNGEI KADUT,1.4149971,103.7533106,370.0
35,TAMPINES,1.3546528,103.9435712,150610.0
36,TANGLIN,1.30420465,103.81847174837526,12980.0
37,TOA PAYOH,1.3353906,103.8497414,70030.0
38,WESTERN WATER CATCHMENT,1.3487577,103.6784309,420.0
39,WOODLANDS,1.436897,103.786216,154080.0
40,YISHUN,1.4293839,103.8350282,128760.0
